prob_name,num_elements,max_weight,optimum,solution
knapPI_1_10000_1000_1.csv,10000,49877,563647,knapPI_1_10000_1000_1_sol.txt
knapPI_1_1000_1000_1.csv,1000,  5002,54503,knapPI_1_1000_1000_1_sol.txt
knapPI_1_100_1000_1.csv,100,    995,9147,knapPI_1_100_1000_1_sol.txt
knapPI_1_2000_1000_1.csv,2000,  10011,110625,knapPI_1_2000_1000_1_sol.txt
knapPI_1_200_1000_1.csv,200,    1008,11238,knapPI_1_200_1000_1_sol.txt
knapPI_1_5000_1000_1.csv,5000,  25016,276457,knapPI_1_5000_1000_1_sol.txt
knapPI_1_500_1000_1.csv,500,    2543,28857,knapPI_1_500_1000_1_sol.txt
knapPI_2_10000_1000_1.csv,10000,49877,90204,knapPI_2_10000_1000_1_sol.txt
knapPI_2_1000_1000_1.csv,1000,5002,9052,knapPI_2_1000_1000_1_sol.txt
knapPI_2_100_1000_1.csv,100,995,1514,knapPI_2_100_1000_1_sol.txt
knapPI_2_2000_1000_1.csv,2000,10011,18051,knapPI_2_2000_1000_1_sol.txt
knapPI_2_200_1000_1.csv,200,1008,1634,knapPI_2_200_1000_1_sol.txt
knapPI_2_5000_1000_1.csv,5000,25016,44356,knapPI_2_5000_1000_1_sol.txt
knapPI_2_500_1000_1.csv,500,2543,4566,knapPI_2_500_1000_1_sol.txt
knapPI_3_10000_1000_1.csv,10000,49519,146919,knapPI_3_10000_1000_1_sol.txt
knapPI_3_1000_1000_1.csv,1000,4990,14390,knapPI_3_1000_1000_1_sol.txt
knapPI_3_100_1000_1.csv,100,997,2397,knapPI_3_100_1000_1_sol.txt
knapPI_3_2000_1000_1.csv,2000,9819,28919,knapPI_3_2000_1000_1_sol.txt
knapPI_3_200_1000_1.csv,200,997,2697,knapPI_3_200_1000_1_sol.txt
knapPI_3_5000_1000_1.csv,5000,24805,72505,knapPI_3_5000_1000_1_sol.txt
knapPI_3_500_1000_1.csv,500,2517,7117,knapPI_3_500_1000_1_sol.txt



